ProcessName,SER.COOLING.HIGH-CONSUMPTION,SER.COOKING,SER.COMPUTING,SER.SPACE-HEAT.HIGH-CONSUMPTION,SER.SPACE-HEAT.LOW-CONSUMPTION,SER.LIGHTING.OFFICE,SER.LIGHTING.OTHER,SER.OTHER,SER.REFRIGERATION,SER.HOT-WATER.HIGH-CONSUMPTION,SER.HOT-WATER.LOW-CONSUMPTION,CO2f,RegionName,Time
Unit,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,kt/PJ,-,year
SWHDSTD00 [SER.WATER.HIGH-CONSUMPTION: .00.STANDALONE.DELIVERY.],0,0,0,0,0,0,0,0,0,1,0,0.0,UK,2010
SWHWHTRE00 [SER.WATER.HIGH-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],0,0,0,0,0,0,0,0,0,1,0,0.0,UK,2010
SWLDSTD00 [SER.WATER.LOW-CONSUMPTION: .00.STANDALONE.DELIVERY.],0,0,0,0,0,0,0,0,0,0,1,50.14900158370755,UK,2010
SWLWHTRE00 [SER.WATER.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.],0,0,0,0,0,0,0,0,0,0,1,0.0,UK,2010
SWLWHTRG00 [SER.WATER.LOW-CONSUMPTION: .00.NGA.BOILER.STD.STANDALONE.],0,0,0,0,0,0,0,0,0,0,1,50.14900158370755,UK,2010
SCHCSV01 [SER.COOLTH.HIGH-CONSUMPTION: .01.CONSERVATION-MEASURES.],1,0,0,0,0,0,0,0,0,0,0,0.0,UK,2010
SCHDAIR01 [SER.COOLTH.HIGH-CONSUMPTION: .01.AIR.DELIVERY.],1,0,0,0,0,0,0,0,0,0,0,50.14900158370755,UK,2010
SCHP-ADM01 [SER.CHP: .01.ENERGY-TO-WASTE.ANAEROBIC-DIGESTION.MSWBIO.],0,0,0,0,0,0,0,1,0,0,0,0.0,UK,2010
SCHP-CCG01 [SER.CHP: .01.COMBINED-CYCLE.NGA.],0,0,0,0,0,0,0,1,0,0,0,50.14900158370755,UK,2010
SCHP-CCH01 [SER.CHP: .01.COMBINED-CYCLE.HYG.],0,0,0,0,0,0,0,1,0,0,0,50.14900158370755,UK,2010
SCHP-FCH01 [SER.CHP: .01.FUEL-CELL.HYG.],0,0,0,0,0,0,0,1,0,0,0,50.14900158370755,UK,2010
SCHP-GES01 [SER.CHP: .01.GAS-ENGINE.BOG-SEWAGE.],0,0,0,0,0,0,0,1,0,0,0,0.0,UK,2010
SCHP-STM01 [SER.CHP: .01.ENERGY-TO-WASTE.STEAM-TURBINE.MSW.],0,0,0,0,0,0,0,1,0,0,0,0.0,UK,2010
SCHP-STW01 [SER.CHP: .01.STEAM-TURBINE.BIOMASS.],0,0,0,0,0,0,0,1,0,0,0,0.0,UK,2010
SCKELC001 [SER.COOKING: .01.ELC.],0,1,0,0,0,0,0,0,0,0,0,0.0,UK,2010
SCKHYG001 [SER.COOKING: .01.HDG.],0,1,0,0,0,0,0,0,0,0,0,0.0,UK,2010
SCKLFO001 [SER.COOKING: .01.OIL.],0,1,0,0,0,0,0,0,0,0,0,70.27115814432203,UK,2010
SCKNGA001 [SER.COOKING: .01.NGA.],0,1,0,0,0,0,0,0,0,0,0,50.14900158370755,UK,2010
SCPECOMP01 [SER.COMPUTERS: .01.],0,0,1,0,0,0,0,0,0,0,0,0.0,UK,2010
SCSELPDT01 [SER.LIGHTING: .01.CONSERVATION.PRESENCE-DETECTOR.],0,0,0,0,0,0,1,0,0,0,0,0.0,UK,2010
SCSELTMR01 [SER.LIGHTING: .01.CONSERVATION.LIGHTING-TIMER.],0,0,0,0,0,0,1,0,0,0,0,0.0,UK,2010
