ProcessName,RegionName,Time,season,period,UtilizationFactor,MinimumServiceFactor
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,P,Peak,0.392417,0.353175
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,S,Day,0.034806,0.031325
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,S,Evening,0.002616,0.002354
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,S,Night,0.002450,0.002205
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,S,Peak,0.000000,0.000000
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,W,Day,0.469669,0.422702
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,W,Evening,0.336806,0.303125
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,W,Night,0.195731,0.176158
SHHBLRRG00 [SER.HEAT.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.RADIATOR.],UK,2010,W,Peak,0.908469,0.817622
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,2010,A,Day,0.176584,0.158926
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,2010,A,Evening,0.111288,0.100159
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,2010,A,Night,0.071094,0.063984
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,2010,A,Peak,0.309786,0.278807
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,2010,P,Day,0.214276,0.192848
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,2010,P,Evening,0.141696,0.127526
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,2010,P,Night,0.092345,0.083111
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,2010,P,Peak,0.392417,0.353175
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,2010,S,Day,0.034806,0.031325
SHHBLRRO00 [SER.HEAT.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.RADIATOR.],UK,2010,S,Evening,0.002616,0.002354
