commodity,consumption,period,region,season,timeslice,units_prices,year
elc,81.22270000000,Day,UK,P,5,43.34267522,2010
oil,15.53930000000,Day,UK,P,5,19.7944343,2010
hco,7.66720000000,Day,UK,P,5,19.7944343,2010
lfo,4.14080000000,Day,UK,P,5,19.7944343,2010
wood,1.55740000000,Day,UK,P,5,10.019,2010
ser.cooling.high-consumption,1.02190000000,Day,UK,P,5,0,2010
ser.cooking,1.01970000000,Day,UK,P,5,0,2010
ser.computing,0.31890000000,Day,UK,P,5,0,2010
ser.space-heat.high-consumption,5.28090000000,Day,UK,P,5,0,2010
ser.space-heat.low-consumption,3.62070000000,Day,UK,P,5,0,2010
ser.lighting.office,7.38560000000,Day,UK,P,5,0,2010
ser.lighting.other,3.33430000000,Day,UK,P,5,0,2010
ser.other,0.76780000000,Day,UK,P,5,0,2010
ser.refrigeration,1.98000000000,Day,UK,P,5,0,2010
ser.hot-water.high-consumption,0.79500000000,Day,UK,P,5,0,2010
ser.hot-water.low-consumption,0.34350000000,Day,UK,P,5,0,2010
res.cooking.other,0.49480000000,Day,UK,P,5,0,2010
res.cooking.hobs,0.67500000000,Day,UK,P,5,0,2010
res.cooking.ovens,0.60750000000,Day,UK,P,5,0,2010
res.consumer-electronics.tv,2.29160000000,Day,UK,P,5,0,2010
res.freezers,0.43920000000,Day,UK,P,5,0,2010
res.computers,0.89360000000,Day,UK,P,5,0,2010
res.refrigerators,1.00480000000,Day,UK,P,5,0,2010
res.lighting,69.19920000000,Day,UK,P,5,0,2010
res.other,0.97720000000,Day,UK,P,5,0,2010
res.wet.appliances,1.84880000000,Day,UK,P,5,0,2010
res.space-heat.existing-average,38.26970000000,Day,UK,P,5,0,2010
res.space-heat.new-average,0.04130000000,Day,UK,P,5,0,2010
res.hot-water.existing-average,4.65950000000,Day,UK,P,5,0,2010
res.hot-water.new-average,0.02210000000,Day,UK,P,5,0,2010
nga,93.45610000000,Peak,UK,P,6,12.552,2010
bog,0.01840000000,Peak,UK,P,6,0,2010
biomass,0.01550000000,Peak,UK,P,6,10.019,2010
elc,58.05690000000,Peak,UK,P,6,43.34267522,2010
oil,8.40240000000,Peak,UK,P,6,19.7944343,2010
hco,6.28970000000,Peak,UK,P,6,19.7944343,2010
lfo,2.70610000000,Peak,UK,P,6,19.7944343,2010
wood,1.76060000000,Peak,UK,P,6,10.019,2010
ser.cooling.high-consumption,1.02190000000,Peak,UK,P,6,0,2010
ser.computing,0.47840000000,Peak,UK,P,6,0,2010
ser.space-heat.high-consumption,6.02290000000,Peak,UK,P,6,0,2010
ser.space-heat.low-consumption,3.78620000000,Peak,UK,P,6,0,2010
ser.lighting.office,9.84750000000,Peak,UK,P,6,0,2010
ser.lighting.other,4.44580000000,Peak,UK,P,6,0,2010
ser.other,1.34360000000,Peak,UK,P,6,0,2010
ser.refrigeration,3.46500000000,Peak,UK,P,6,0,2010
ser.hot-water.high-consumption,2.71360000000,Peak,UK,P,6,0,2010
ser.hot-water.low-consumption,1.13260000000,Peak,UK,P,6,0,2010
res.cooking.other,0.24740000000,Peak,UK,P,6,0,2010
res.cooking.hobs,0.33750000000,Peak,UK,P,6,0,2010
res.cooking.ovens,0.30380000000,Peak,UK,P,6,0,2010
res.consumer-electronics.tv,1.43230000000,Peak,UK,P,6,0,2010
res.freezers,0.76850000000,Peak,UK,P,6,0,2010
res.computers,0.23830000000,Peak,UK,P,6,0,2010
res.refrigerators,1.75840000000,Peak,UK,P,6,0,2010
res.lighting,17.29980000000,Peak,UK,P,6,0,2010
res.other,0.85500000000,Peak,UK,P,6,0,2010
res.space-heat.existing-average,42.48090000000,Peak,UK,P,6,0,2010
res.space-heat.new-average,0.04590000000,Peak,UK,P,6,0,2010
res.hot-water.existing-average,15.49450000000,Peak,UK,P,6,0,2010
res.hot-water.new-average,0.07340000000,Peak,UK,P,6,0,2010
nga,58.39800000000,Evening,UK,P,7,12.552,2010
bog,0.01340000000,Evening,UK,P,7,0,2010
biomass,0.01120000000,Evening,UK,P,7,10.019,2010
elc,90.62650000000,Evening,UK,P,7,43.34267522,2010
oil,5.10610000000,Evening,UK,P,7,19.7944343,2010
hco,10.57680000000,Evening,UK,P,7,19.7944343,2010
lfo,2.84070000000,Evening,UK,P,7,19.7944343,2010
wood,1.65600000000,Evening,UK,P,7,10.019,2010
ser.cooling.high-consumption,1.53290000000,Evening,UK,P,7,0,2010
ser.cooking,3.05900000000,Evening,UK,P,7,0,2010
ser.computing,0.31890000000,Evening,UK,P,7,0,2010
ser.space-heat.high-consumption,10.96880000000,Evening,UK,P,7,0,2010
ser.space-heat.low-consumption,5.44620000000,Evening,UK,P,7,0,2010
ser.lighting.office,9.84750000000,Evening,UK,P,7,0,2010
ser.lighting.other,4.44580000000,Evening,UK,P,7,0,2010
ser.other,0.57580000000,Evening,UK,P,7,0,2010
ser.refrigeration,1.48500000000,Evening,UK,P,7,0,2010
ser.hot-water.high-consumption,2.08390000000,Evening,UK,P,7,0,2010
ser.hot-water.low-consumption,0.81190000000,Evening,UK,P,7,0,2010
res.cooking.other,1.73180000000,Evening,UK,P,7,0,2010
res.cooking.hobs,2.36250000000,Evening,UK,P,7,0,2010
res.cooking.ovens,2.12630000000,Evening,UK,P,7,0,2010
res.consumer-electronics.tv,2.00520000000,Evening,UK,P,7,0,2010
res.freezers,0.32940000000,Evening,UK,P,7,0,2010
res.computers,0.80420000000,Evening,UK,P,7,0,2010
res.refrigerators,0.75360000000,Evening,UK,P,7,0,2010
res.lighting,69.19920000000,Evening,UK,P,7,0,2010
res.other,0.73290000000,Evening,UK,P,7,0,2010
res.wet.appliances,1.38660000000,Evening,UK,P,7,0,2010
res.space-heat.existing-average,63.08340000000,Evening,UK,P,7,0,2010
res.space-heat.new-average,0.06810000000,Evening,UK,P,7,0,2010
res.hot-water.existing-average,11.12920000000,Evening,UK,P,7,0,2010
res.hot-water.new-average,0.05270000000,Evening,UK,P,7,0,2010
nga,62.05480000000,Night,UK,S,8,12.552,2010
bog,0.04300000000,Night,UK,S,8,0,2010
biomass,0.03610000000,Night,UK,S,8,10.019,2010
elc,69.40650000000,Night,UK,S,8,43.34267522,2010
oil,2.67090000000,Night,UK,S,8,19.7944343,2010
hco,3.37960000000,Night,UK,S,8,19.7944343,2010
lfo,0.52190000000,Night,UK,S,8,19.7944343,2010
wood,1.85660000000,Night,UK,S,8,10.019,2010
ser.cooling.high-consumption,44.85100000000,Night,UK,S,8,0,2010
ser.cooking,6.11790000000,Night,UK,S,8,0,2010
ser.computing,2.07290000000,Night,UK,S,8,0,2010
ser.space-heat.high-consumption,3.24300000000,Night,UK,S,8,0,2010
ser.space-heat.low-consumption,0.84380000000,Night,UK,S,8,0,2010
ser.lighting.office,17.72550000000,Night,UK,S,8,0,2010
ser.lighting.other,8.00240000000,Night,UK,S,8,0,2010
ser.other,1.91950000000,Night,UK,S,8,0,2010
ser.refrigeration,5.94000000000,Night,UK,S,8,0,2010
ser.hot-water.high-consumption,2.96250000000,Night,UK,S,8,0,2010
ser.hot-water.low-consumption,1.58310000000,Night,UK,S,8,0,2010
res.cooking.other,2.47400000000,Night,UK,S,8,0,2010
res.cooking.hobs,3.37500000000,Night,UK,S,8,0,2010
res.cooking.ovens,3.03750000000,Night,UK,S,8,0,2010
res.consumer-electronics.tv,5.72900000000,Night,UK,S,8,0,2010
res.freezers,1.84450000000,Night,UK,S,8,0,2010
res.computers,1.31060000000,Night,UK,S,8,0,2010
res.refrigerators,4.22010000000,Night,UK,S,8,0,2010
res.lighting,13.83980000000,Night,UK,S,8,0,2010
res.other,2.44290000000,Night,UK,S,8,0,2010
res.wet.appliances,4.62210000000,Night,UK,S,8,0,2010
res.space-heat.existing-average,8.79020000000,Night,UK,S,8,0,2010
res.space-heat.new-average,0.00950000000,Night,UK,S,8,0,2010
res.hot-water.existing-average,20.24170000000,Night,UK,S,8,0,2010
res.hot-water.new-average,0.09580000000,Night,UK,S,8,0,2010
nga,41.56690000000,Day,UK,S,9,12.552,2010
bog,0.01780000000,Day,UK,S,9,0,2010
biomass,0.01500000000,Day,UK,S,9,10.019,2010
elc,47.55070000000,Day,UK,S,9,43.34267522,2010
oil,3.43710000000,Day,UK,S,9,19.7944343,2010
hco,0.88450000000,Day,UK,S,9,19.7944343,2010
lfo,0.64890000000,Day,UK,S,9,19.7944343,2010
wood,0.54860000000,Day,UK,S,9,10.019,2010
ser.cooling.high-consumption,3.40640000000,Day,UK,S,9,0,2010
ser.cooking,1.01970000000,Day,UK,S,9,0,2010
ser.computing,0.31890000000,Day,UK,S,9,0,2010
ser.space-heat.high-consumption,0.09750000000,Day,UK,S,9,0,2010
ser.space-heat.low-consumption,0.32620000000,Day,UK,S,9,0,2010
ser.lighting.office,5.90850000000,Day,UK,S,9,0,2010
ser.lighting.other,2.66740000000,Day,UK,S,9,0,2010
ser.other,0.76780000000,Day,UK,S,9,0,2010
ser.refrigeration,2.37600000000,Day,UK,S,9,0,2010
ser.hot-water.high-consumption,0.50800000000,Day,UK,S,9,0,2010
ser.hot-water.low-consumption,0.31200000000,Day,UK,S,9,0,2010
res.cooking.other,0.49480000000,Day,UK,S,9,0,2010
res.cooking.hobs,0.67500000000,Day,UK,S,9,0,2010
res.cooking.ovens,0.60750000000,Day,UK,S,9,0,2010
