commodity,period,prices,region,season,timeslice,units_prices,year
ser.space-heat.high-consumption,Day,,UK,A,13,0,2010
ser.space-heat.low-consumption,Day,,UK,A,13,0,2010
ser.lighting.office,Day,,UK,A,13,0,2010
ser.lighting.other,Day,,UK,A,13,0,2010
ser.other,Day,,UK,A,13,0,2010
ser.refrigeration,Day,,UK,A,13,0,2010
ser.hot-water.high-consumption,Day,,UK,A,13,0,2010
ser.hot-water.low-consumption,Day,,UK,A,13,0,2010
CO2f,Day,,UK,A,13,0,2010
nga,Peak,,UK,A,14,12.552,2010
bog,Peak,,UK,A,14,0,2010
biomass,Peak,,UK,A,14,10.019,2010
elc,Peak,,UK,A,14,43.34267522,2010
oil,Peak,,UK,A,14,19.7944343,2010
hco,Peak,,UK,A,14,19.7944343,2010
lfo,Peak,,UK,A,14,19.7944343,2010
wood,Peak,,UK,A,14,10.019,2010
hydrogen,Peak,,UK,A,14,105.016835,2010
pellets,Peak,,UK,A,14,20.58703511,2010
solar,Peak,,UK,A,14,0.0,2010
ser.cooling.high-consumption,Peak,,UK,A,14,0,2010
ser.cooking,Peak,,UK,A,14,0,2010
ser.computing,Peak,,UK,A,14,0,2010
ser.space-heat.high-consumption,Peak,,UK,A,14,0,2010
ser.space-heat.low-consumption,Peak,,UK,A,14,0,2010
ser.lighting.office,Peak,,UK,A,14,0,2010
ser.lighting.other,Peak,,UK,A,14,0,2010
ser.other,Peak,,UK,A,14,0,2010
ser.refrigeration,Peak,,UK,A,14,0,2010
ser.hot-water.high-consumption,Peak,,UK,A,14,0,2010
ser.hot-water.low-consumption,Peak,,UK,A,14,0,2010
CO2f,Peak,,UK,A,14,0,2010
nga,Evening,,UK,A,15,12.552,2010
bog,Evening,,UK,A,15,0,2010
biomass,Evening,,UK,A,15,10.019,2010
elc,Evening,,UK,A,15,43.34267522,2010
oil,Evening,,UK,A,15,19.7944343,2010
hco,Evening,,UK,A,15,19.7944343,2010
lfo,Evening,,UK,A,15,19.7944343,2010
wood,Evening,,UK,A,15,10.019,2010
hydrogen,Evening,,UK,A,15,105.016835,2010
pellets,Evening,,UK,A,15,20.58703511,2010
solar,Evening,,UK,A,15,0.0,2010
ser.cooling.high-consumption,Evening,,UK,A,15,0,2010
ser.cooking,Evening,,UK,A,15,0,2010
ser.computing,Evening,,UK,A,15,0,2010
ser.space-heat.high-consumption,Evening,,UK,A,15,0,2010
ser.space-heat.low-consumption,Evening,,UK,A,15,0,2010
ser.lighting.office,Evening,,UK,A,15,0,2010
ser.lighting.other,Evening,,UK,A,15,0,2010
ser.other,Evening,,UK,A,15,0,2010
ser.refrigeration,Evening,,UK,A,15,0,2010
ser.hot-water.high-consumption,Evening,,UK,A,15,0,2010
ser.hot-water.low-consumption,Evening,,UK,A,15,0,2010
CO2f,Evening,,UK,A,15,0,2010
nga,Night,12.47950000000,UK,W,0,12.552,2015
biomass,Night,11.84850000000,UK,W,0,10.019,2015
elc,Night,45.82250000000,UK,W,0,43.34267522,2015
oil,Night,19.79440000000,UK,W,0,19.7944343,2015
hco,Night,17.90350000000,UK,W,0,19.7944343,2015
lfo,Night,17.90350000000,UK,W,0,19.7944343,2015
wood,Night,11.84850000000,UK,W,0,10.019,2015
hydrogen,Night,105.01680000000,UK,W,0,105.016835,2015
pellets,Night,17.93240000000,UK,W,0,20.58703511,2015
ser.cooking,Night,1.44540000000,UK,W,0,0,2015
ser.computing,Night,21.36260000000,UK,W,0,0,2015
ser.space-heat.high-consumption,Night,7.21290000000,UK,W,0,0,2015
ser.space-heat.low-consumption,Night,0.38360000000,UK,W,0,0,2015
ser.lighting.office,Night,0.03960000000,UK,W,0,0,2015
ser.lighting.other,Night,0.02510000000,UK,W,0,0,2015
ser.other,Night,0.18360000000,UK,W,0,0,2015
ser.refrigeration,Night,4.02070000000,UK,W,0,0,2015
ser.hot-water.high-consumption,Night,0.36470000000,UK,W,0,0,2015
ser.hot-water.low-consumption,Night,0.48420000000,UK,W,0,0,2015
nga,Day,12.47950000000,UK,W,1,12.552,2015
biomass,Day,11.84850000000,UK,W,1,10.019,2015
elc,Day,45.82250000000,UK,W,1,43.34267522,2015
oil,Day,19.79440000000,UK,W,1,19.7944343,2015
