commodity,consumption,period,region,season,timeslice,units_prices,year
elc,23.95390000000,Day,UK,S,9,43.34267522,2010
oil,0.29160000000,Day,UK,S,9,19.7944343,2010
hco,0.17090000000,Day,UK,S,9,19.7944343,2010
lfo,0.64890000000,Day,UK,S,9,19.7944343,2010
wood,0.39460000000,Day,UK,S,9,10.019,2010
ser.cooling.high-consumption,3.40640000000,Day,UK,S,9,0,2010
ser.cooking,1.01970000000,Day,UK,S,9,0,2010
ser.computing,0.31890000000,Day,UK,S,9,0,2010
ser.space-heat.high-consumption,0.09750000000,Day,UK,S,9,0,2010
ser.space-heat.low-consumption,0.32620000000,Day,UK,S,9,0,2010
ser.lighting.office,5.90850000000,Day,UK,S,9,0,2010
ser.lighting.other,2.66740000000,Day,UK,S,9,0,2010
ser.other,0.76780000000,Day,UK,S,9,0,2010
ser.refrigeration,2.37600000000,Day,UK,S,9,0,2010
ser.hot-water.high-consumption,0.50800000000,Day,UK,S,9,0,2010
ser.hot-water.low-consumption,0.31200000000,Day,UK,S,9,0,2010
nga,5.63940000000,Peak,UK,S,10,12.552,2010
bog,0.01840000000,Peak,UK,S,10,0,2010
biomass,0.01550000000,Peak,UK,S,10,10.019,2010
elc,11.75040000000,Peak,UK,S,10,43.34267522,2010
oil,0.10520000000,Peak,UK,S,10,19.7944343,2010
hco,0.27310000000,Peak,UK,S,10,19.7944343,2010
lfo,0.32230000000,Peak,UK,S,10,19.7944343,2010
wood,1.05980000000,Peak,UK,S,10,10.019,2010
ser.cooling.high-consumption,3.40640000000,Peak,UK,S,10,0,2010
ser.computing,0.47840000000,Peak,UK,S,10,0,2010
ser.space-heat.high-consumption,0.15980000000,Peak,UK,S,10,0,2010
ser.space-heat.low-consumption,0.54730000000,Peak,UK,S,10,0,2010
ser.lighting.office,7.87800000000,Peak,UK,S,10,0,2010
ser.lighting.other,3.55660000000,Peak,UK,S,10,0,2010
ser.other,1.34360000000,Peak,UK,S,10,0,2010
ser.refrigeration,4.15800000000,Peak,UK,S,10,0,2010
ser.hot-water.high-consumption,2.00900000000,Peak,UK,S,10,0,2010
ser.hot-water.low-consumption,1.07090000000,Peak,UK,S,10,0,2010
nga,8.34160000000,Evening,UK,S,11,12.552,2010
bog,0.01340000000,Evening,UK,S,11,0,2010
biomass,0.01120000000,Evening,UK,S,11,10.019,2010
elc,10.82170000000,Evening,UK,S,11,43.34267522,2010
oil,0.28560000000,Evening,UK,S,11,19.7944343,2010
hco,0.11200000000,Evening,UK,S,11,19.7944343,2010
lfo,0.21870000000,Evening,UK,S,11,19.7944343,2010
wood,0.87680000000,Evening,UK,S,11,10.019,2010
ser.cooling.high-consumption,5.10960000000,Evening,UK,S,11,0,2010
ser.cooking,3.05900000000,Evening,UK,S,11,0,2010
ser.computing,0.31890000000,Evening,UK,S,11,0,2010
ser.space-heat.low-consumption,0.38200000000,Evening,UK,S,11,0,2010
ser.lighting.office,7.87800000000,Evening,UK,S,11,0,2010
ser.lighting.other,3.55660000000,Evening,UK,S,11,0,2010
ser.other,0.57580000000,Evening,UK,S,11,0,2010
ser.refrigeration,1.78200000000,Evening,UK,S,11,0,2010
ser.hot-water.high-consumption,1.27360000000,Evening,UK,S,11,0,2010
ser.hot-water.low-consumption,0.79780000000,Evening,UK,S,11,0,2010
nga,16.22610000000,Night,UK,A,12,12.552,2010
bog,0.04300000000,Night,UK,A,12,0,2010
biomass,0.03610000000,Night,UK,A,12,10.019,2010
elc,43.01370000000,Night,UK,A,12,43.34267522,2010
oil,0.74930000000,Night,UK,A,12,19.7944343,2010
hco,39.96030000000,Night,UK,A,12,19.7944343,2010
lfo,8.40930000000,Night,UK,A,12,19.7944343,2010
wood,2.54830000000,Night,UK,A,12,10.019,2010
ser.cooling.high-consumption,2.99010000000,Night,UK,A,12,0,2010
ser.cooking,6.11790000000,Night,UK,A,12,0,2010
ser.computing,2.07290000000,Night,UK,A,12,0,2010
ser.space-heat.high-consumption,43.76070000000,Night,UK,A,12,0,2010
ser.space-heat.low-consumption,18.70700000000,Night,UK,A,12,0,2010
ser.lighting.office,26.58820000000,Night,UK,A,12,0,2010
ser.lighting.other,12.00350000000,Night,UK,A,12,0,2010
ser.other,1.91950000000,Night,UK,A,12,0,2010
ser.refrigeration,3.96000000000,Night,UK,A,12,0,2010
ser.hot-water.high-consumption,4.49860000000,Night,UK,A,12,0,2010
ser.hot-water.low-consumption,1.69770000000,Night,UK,A,12,0,2010
nga,23.35170000000,Day,UK,A,13,12.552,2010
bog,0.01780000000,Day,UK,A,13,0,2010
biomass,0.01500000000,Day,UK,A,13,10.019,2010
elc,21.52460000000,Day,UK,A,13,43.34267522,2010
oil,0.67900000000,Day,UK,A,13,19.7944343,2010
hco,9.86800000000,Day,UK,A,13,19.7944343,2010
lfo,4.72340000000,Day,UK,A,13,19.7944343,2010
wood,0.82810000000,Day,UK,A,13,10.019,2010
ser.cooling.high-consumption,0.22710000000,Day,UK,A,13,0,2010
ser.cooking,1.01970000000,Day,UK,A,13,0,2010
ser.computing,0.31890000000,Day,UK,A,13,0,2010
ser.space-heat.high-consumption,12.55250000000,Day,UK,A,13,0,2010
ser.space-heat.low-consumption,6.32890000000,Day,UK,A,13,0,2010
ser.lighting.office,8.86270000000,Day,UK,A,13,0,2010
ser.lighting.other,4.00120000000,Day,UK,A,13,0,2010
ser.other,0.76780000000,Day,UK,A,13,0,2010
ser.refrigeration,1.58400000000,Day,UK,A,13,0,2010
ser.hot-water.high-consumption,0.89760000000,Day,UK,A,13,0,2010
ser.hot-water.low-consumption,0.34350000000,Day,UK,A,13,0,2010
nga,12.18460000000,Peak,UK,A,14,12.552,2010
bog,0.01840000000,Peak,UK,A,14,0,2010
biomass,0.01550000000,Peak,UK,A,14,10.019,2010
elc,17.51230000000,Peak,UK,A,14,43.34267522,2010
oil,0.30970000000,Peak,UK,A,14,19.7944343,2010
hco,9.33630000000,Peak,UK,A,14,19.7944343,2010
lfo,2.92080000000,Peak,UK,A,14,19.7944343,2010
wood,1.44200000000,Peak,UK,A,14,10.019,2010
ser.cooling.high-consumption,0.22710000000,Peak,UK,A,14,0,2010
ser.computing,0.47840000000,Peak,UK,A,14,0,2010
ser.space-heat.high-consumption,12.76590000000,Peak,UK,A,14,0,2010
ser.space-heat.low-consumption,5.13820000000,Peak,UK,A,14,0,2010
ser.lighting.office,11.81700000000,Peak,UK,A,14,0,2010
ser.lighting.other,5.33490000000,Peak,UK,A,14,0,2010
ser.other,1.34360000000,Peak,UK,A,14,0,2010
ser.refrigeration,2.77200000000,Peak,UK,A,14,0,2010
ser.hot-water.high-consumption,2.88400000000,Peak,UK,A,14,0,2010
ser.hot-water.low-consumption,1.13600000000,Peak,UK,A,14,0,2010
nga,8.74410000000,Evening,UK,A,15,12.552,2010
bog,0.01340000000,Evening,UK,A,15,0,2010
biomass,0.01120000000,Evening,UK,A,15,10.019,2010
elc,19.19210000000,Evening,UK,A,15,43.34267522,2010
oil,0.42150000000,Evening,UK,A,15,19.7944343,2010
hco,21.55900000000,Evening,UK,A,15,19.7944343,2010
lfo,3.91320000000,Evening,UK,A,15,19.7944343,2010
wood,1.46890000000,Evening,UK,A,15,10.019,2010
ser.cooling.high-consumption,0.34060000000,Evening,UK,A,15,0,2010
ser.cooking,3.05900000000,Evening,UK,A,15,0,2010
ser.computing,0.31890000000,Evening,UK,A,15,0,2010
ser.space-heat.high-consumption,25.39350000000,Evening,UK,A,15,0,2010
ser.space-heat.low-consumption,8.44500000000,Evening,UK,A,15,0,2010
ser.lighting.office,11.81700000000,Evening,UK,A,15,0,2010
ser.lighting.other,5.33490000000,Evening,UK,A,15,0,2010
ser.other,0.57580000000,Evening,UK,A,15,0,2010
ser.refrigeration,1.18800000000,Evening,UK,A,15,0,2010
ser.hot-water.high-consumption,2.15150000000,Evening,UK,A,15,0,2010
ser.hot-water.low-consumption,0.81190000000,Evening,UK,A,15,0,2010
