commodity,consumption,period,region,season,timeslice,units_prices,year
res.freezers,0.39520000000,Evening,UK,S,11,0,2010
res.computers,0.64340000000,Evening,UK,S,11,0,2010
res.refrigerators,0.90430000000,Evening,UK,S,11,0,2010
res.lighting,55.35940000000,Evening,UK,S,11,0,2010
res.other,0.73290000000,Evening,UK,S,11,0,2010
res.wet.appliances,1.38660000000,Evening,UK,S,11,0,2010
res.space-heat.existing-average,2.89460000000,Evening,UK,S,11,0,2010
res.space-heat.new-average,0.00310000000,Evening,UK,S,11,0,2010
res.hot-water.existing-average,10.19650000000,Evening,UK,S,11,0,2010
res.hot-water.new-average,0.04830000000,Evening,UK,S,11,0,2010
elc,219.97930000000,Night,UK,A,12,43.34267522,2010
nga,55.28870000000,Night,UK,A,12,12.552,2010
oil,5.39830000000,Night,UK,A,12,19.7944343,2010
hco,1.22470000000,Night,UK,A,12,19.7944343,2010
wood,0.26430000000,Night,UK,A,12,10.019,2010
res.cooking.other,2.47400000000,Night,UK,A,12,0,2010
res.cooking.hobs,3.37500000000,Night,UK,A,12,0,2010
res.cooking.ovens,3.03750000000,Night,UK,A,12,0,2010
res.consumer-electronics.tv,5.72900000000,Night,UK,A,12,0,2010
res.freezers,1.22960000000,Night,UK,A,12,0,2010
res.computers,1.96590000000,Night,UK,A,12,0,2010
res.refrigerators,2.81340000000,Night,UK,A,12,0,2010
res.lighting,20.75980000000,Night,UK,A,12,0,2010
res.other,2.44290000000,Night,UK,A,12,0,2010
res.wet.appliances,4.62210000000,Night,UK,A,12,0,2010
res.space-heat.existing-average,209.38010000000,Night,UK,A,12,0,2010
res.space-heat.new-average,0.22610000000,Night,UK,A,12,0,2010
res.hot-water.existing-average,23.27050000000,Night,UK,A,12,0,2010
res.hot-water.new-average,0.11020000000,Night,UK,A,12,0,2010
elc,87.72720000000,Day,UK,A,13,43.34267522,2010
nga,119.77280000000,Day,UK,A,13,12.552,2010
oil,12.34390000000,Day,UK,A,13,19.7944343,2010
hco,2.80040000000,Day,UK,A,13,19.7944343,2010
wood,0.60440000000,Day,UK,A,13,10.019,2010
res.cooking.other,0.49480000000,Day,UK,A,13,0,2010
res.cooking.hobs,0.67500000000,Day,UK,A,13,0,2010
res.cooking.ovens,0.60750000000,Day,UK,A,13,0,2010
res.consumer-electronics.tv,2.29160000000,Day,UK,A,13,0,2010
res.freezers,0.35130000000,Day,UK,A,13,0,2010
res.computers,1.07230000000,Day,UK,A,13,0,2010
res.refrigerators,0.80380000000,Day,UK,A,13,0,2010
res.lighting,83.03900000000,Day,UK,A,13,0,2010
res.other,0.97720000000,Day,UK,A,13,0,2010
res.wet.appliances,1.84880000000,Day,UK,A,13,0,2010
res.space-heat.existing-average,71.00220000000,Day,UK,A,13,0,2010
res.space-heat.new-average,0.07670000000,Day,UK,A,13,0,2010
res.hot-water.existing-average,4.70780000000,Day,UK,A,13,0,2010
res.hot-water.new-average,0.02230000000,Day,UK,A,13,0,2010
elc,56.33350000000,Peak,UK,A,14,43.34267522,2010
nga,64.73130000000,Peak,UK,A,14,12.552,2010
oil,6.67300000000,Peak,UK,A,14,19.7944343,2010
hco,1.51390000000,Peak,UK,A,14,19.7944343,2010
wood,0.32670000000,Peak,UK,A,14,10.019,2010
res.cooking.other,0.24740000000,Peak,UK,A,14,0,2010
res.cooking.hobs,0.33750000000,Peak,UK,A,14,0,2010
res.cooking.ovens,0.30380000000,Peak,UK,A,14,0,2010
res.consumer-electronics.tv,1.43230000000,Peak,UK,A,14,0,2010
res.freezers,0.61480000000,Peak,UK,A,14,0,2010
res.computers,0.28600000000,Peak,UK,A,14,0,2010
res.refrigerators,1.40670000000,Peak,UK,A,14,0,2010
res.lighting,20.75980000000,Peak,UK,A,14,0,2010
res.other,0.85500000000,Peak,UK,A,14,0,2010
res.space-heat.existing-average,60.64160000000,Peak,UK,A,14,0,2010
res.space-heat.new-average,0.06550000000,Peak,UK,A,14,0,2010
res.hot-water.existing-average,15.57150000000,Peak,UK,A,14,0,2010
res.hot-water.new-average,0.07370000000,Peak,UK,A,14,0,2010
elc,110.66310000000,Evening,UK,A,15,43.34267522,2010
nga,38.58110000000,Evening,UK,A,15,12.552,2010
oil,3.76740000000,Evening,UK,A,15,19.7944343,2010
hco,0.85470000000,Evening,UK,A,15,19.7944343,2010
wood,0.18450000000,Evening,UK,A,15,10.019,2010
res.cooking.other,1.73180000000,Evening,UK,A,15,0,2010
res.cooking.hobs,2.36250000000,Evening,UK,A,15,0,2010
res.cooking.ovens,2.12630000000,Evening,UK,A,15,0,2010
res.consumer-electronics.tv,2.00520000000,Evening,UK,A,15,0,2010
res.freezers,0.26350000000,Evening,UK,A,15,0,2010
res.computers,0.96510000000,Evening,UK,A,15,0,2010
res.refrigerators,0.60290000000,Evening,UK,A,15,0,2010
res.lighting,83.03900000000,Evening,UK,A,15,0,2010
res.other,0.73290000000,Evening,UK,A,15,0,2010
res.wet.appliances,1.38660000000,Evening,UK,A,15,0,2010
res.space-heat.existing-average,102.95460000000,Evening,UK,A,15,0,2010
res.space-heat.new-average,0.11120000000,Evening,UK,A,15,0,2010
res.hot-water.existing-average,11.12920000000,Evening,UK,A,15,0,2010
res.hot-water.new-average,0.05270000000,Evening,UK,A,15,0,2010
elc,136.45870000000,Night,UK,W,0,43.34267522,2015
nga,62.78060000000,Night,UK,W,0,12.552,2015
oil,6.19310000000,Night,UK,W,0,19.7944343,2015
hco,1.40500000000,Night,UK,W,0,19.7944343,2015
wood,0.31450000000,Night,UK,W,0,10.019,2015
res.cooking.other,2.59020000000,Night,UK,W,0,0,2015
res.cooking.hobs,3.53340000000,Night,UK,W,0,0,2015
res.cooking.ovens,3.18010000000,Night,UK,W,0,0,2015
res.consumer-electronics.tv,5.92830000000,Night,UK,W,0,0,2015
res.freezers,1.60920000000,Night,UK,W,0,0,2015
res.computers,1.69530000000,Night,UK,W,0,0,2015
res.refrigerators,3.68190000000,Night,UK,W,0,0,2015
res.lighting,18.11190000000,Night,UK,W,0,0,2015
res.other,2.55760000000,Night,UK,W,0,0,2015
res.wet.appliances,4.83900000000,Night,UK,W,0,0,2015
res.space-heat.existing-average,89.74630000000,Night,UK,W,0,0,2015
res.space-heat.new-average,2.43840000000,Night,UK,W,0,0,2015
res.hot-water.existing-average,22.84370000000,Night,UK,W,0,0,2015
res.hot-water.new-average,1.21850000000,Night,UK,W,0,0,2015
elc,56.25400000000,Day,UK,W,1,43.34267522,2015
nga,183.05120000000,Day,UK,W,1,12.552,2015
oil,18.90540000000,Day,UK,W,1,19.7944343,2015
hco,4.28890000000,Day,UK,W,1,19.7944343,2015
wood,0.96000000000,Day,UK,W,1,10.019,2015
res.cooking.other,0.51800000000,Day,UK,W,1,0,2015
res.cooking.hobs,0.70670000000,Day,UK,W,1,0,2015
res.cooking.ovens,0.63600000000,Day,UK,W,1,0,2015
res.consumer-electronics.tv,2.37130000000,Day,UK,W,1,0,2015
res.freezers,0.45980000000,Day,UK,W,1,0,2015
res.computers,0.92470000000,Day,UK,W,1,0,2015
res.refrigerators,1.05200000000,Day,UK,W,1,0,2015
res.lighting,72.44770000000,Day,UK,W,1,0,2015
res.other,1.02310000000,Day,UK,W,1,0,2015
res.wet.appliances,1.93560000000,Day,UK,W,1,0,2015
res.space-heat.existing-average,29.84760000000,Day,UK,W,1,0,2015
res.space-heat.new-average,0.81090000000,Day,UK,W,1,0,2015
res.hot-water.existing-average,4.51480000000,Day,UK,W,1,0,2015
res.hot-water.new-average,0.24080000000,Day,UK,W,1,0,2015
elc,50.33940000000,Peak,UK,W,2,43.34267522,2015
nga,89.77400000000,Peak,UK,W,2,12.552,2015
oil,9.27050000000,Peak,UK,W,2,19.7944343,2015
hco,2.10310000000,Peak,UK,W,2,19.7944343,2015
wood,0.47080000000,Peak,UK,W,2,10.019,2015
res.cooking.other,0.25900000000,Peak,UK,W,2,0,2015
res.cooking.hobs,0.35330000000,Peak,UK,W,2,0,2015
res.cooking.ovens,0.31800000000,Peak,UK,W,2,0,2015
res.consumer-electronics.tv,1.48210000000,Peak,UK,W,2,0,2015
res.freezers,0.80460000000,Peak,UK,W,2,0,2015
res.computers,0.24660000000,Peak,UK,W,2,0,2015
res.refrigerators,1.84090000000,Peak,UK,W,2,0,2015
res.lighting,18.11190000000,Peak,UK,W,2,0,2015
res.other,0.89520000000,Peak,UK,W,2,0,2015
res.space-heat.existing-average,34.09990000000,Peak,UK,W,2,0,2015
res.space-heat.new-average,0.92650000000,Peak,UK,W,2,0,2015
res.hot-water.existing-average,15.13790000000,Peak,UK,W,2,0,2015
res.hot-water.new-average,0.80740000000,Peak,UK,W,2,0,2015
elc,70.84360000000,Evening,UK,W,3,43.34267522,2015
nga,61.48120000000,Evening,UK,W,3,12.552,2015
oil,6.15230000000,Evening,UK,W,3,19.7944343,2015
hco,1.39570000000,Evening,UK,W,3,19.7944343,2015
wood,0.31240000000,Evening,UK,W,3,10.019,2015
res.cooking.other,1.81310000000,Evening,UK,W,3,0,2015
res.cooking.hobs,2.47340000000,Evening,UK,W,3,0,2015
res.cooking.ovens,2.22610000000,Evening,UK,W,3,0,2015
res.consumer-electronics.tv,2.07490000000,Evening,UK,W,3,0,2015
res.freezers,0.34480000000,Evening,UK,W,3,0,2015
res.computers,0.83220000000,Evening,UK,W,3,0,2015
res.refrigerators,0.78900000000,Evening,UK,W,3,0,2015
res.lighting,72.44770000000,Evening,UK,W,3,0,2015
res.other,0.76730000000,Evening,UK,W,3,0,2015
res.wet.appliances,1.45170000000,Evening,UK,W,3,0,2015
res.space-heat.existing-average,49.86620000000,Evening,UK,W,3,0,2015
res.space-heat.new-average,1.35480000000,Evening,UK,W,3,0,2015
res.hot-water.existing-average,10.99830000000,Evening,UK,W,3,0,2015
res.hot-water.new-average,0.58660000000,Evening,UK,W,3,0,2015
elc,158.34310000000,Night,UK,P,4,43.34267522,2015
nga,48.48030000000,Night,UK,P,4,12.552,2015
oil,4.71110000000,Night,UK,P,4,19.7944343,2015
hco,1.06880000000,Night,UK,P,4,19.7944343,2015
wood,0.23920000000,Night,UK,P,4,10.019,2015
res.cooking.other,2.59020000000,Night,UK,P,4,0,2015
res.cooking.hobs,3.53340000000,Night,UK,P,4,0,2015
res.cooking.ovens,3.18010000000,Night,UK,P,4,0,2015
res.consumer-electronics.tv,5.92830000000,Night,UK,P,4,0,2015
res.freezers,1.60920000000,Night,UK,P,4,0,2015
res.computers,1.69530000000,Night,UK,P,4,0,2015
res.refrigerators,3.68190000000,Night,UK,P,4,0,2015
res.lighting,18.11190000000,Night,UK,P,4,0,2015
res.other,2.55760000000,Night,UK,P,4,0,2015
res.wet.appliances,4.83900000000,Night,UK,P,4,0,2015
res.space-heat.existing-average,111.61470000000,Night,UK,P,4,0,2015
res.space-heat.new-average,3.03250000000,Night,UK,P,4,0,2015
res.hot-water.existing-average,22.99680000000,Night,UK,P,4,0,2015
res.hot-water.new-average,1.22660000000,Night,UK,P,4,0,2015
