ProcessName,RegionName,Time,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Fuel,EndUse,s1,r1
Unit,-,year,MGBP2020/PJ_a,-,MGBP2020/PJ_a,-,MGBP2020/PJ,-,PJ,%,PJ,years,-,PJ,%,-,-,-,new,new
RHNABLRRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.BOILER.CON.RADIATOR.],UK,2010,1.75209958199097,1,0.175209958199097,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,1.0,0.1,ELC,RES.SPACE-HEAT.NEW-AVERAGE,0,1
SHLBLRRW00 [SER.HEAT.LOW-CONSUMPTION: .00.WOD.BOILER.STD.RADIATOR.]; SHLBLRRW01 [SER.HEAT.LOW-CONSUMPTION: .01.WOD.BOILER.CON.RADIATOR.],UK,2010,10.2401881236641,1,1.02401881236641,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.7,0.1,WOOD,SER.SPACE-HEAT.LOW-CONSUMPTION,1,0
RHEAAHBRE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.NGA.BOILER.RADIATOR.],UK,2010,10.5209266569536,1,0.631255599417215,1,0,1,100000000.0,100,100000000.0,20.0,1.0,1,0.84,0.1,ELC,RES.SPACE-HEAT.EXISTING-AVERAGE,0,1
RHEAAHHRE01 [RES.HEAT.EXISTING-AVERAGE: .01.ELC.HEAT PUMP.AIR.HDG.BOILER.RADIATOR.],UK,2010,10.5209266569536,1,0.631255599417215,1,0,1,100000000.0,100,100000000.0,20.0,1.0,1,2.51,0.1,ELC,RES.SPACE-HEAT.EXISTING-AVERAGE,0,1
SWLWHTRG00 [SER.WATER.LOW-CONSUMPTION: .00.NGA.BOILER.STD.STANDALONE.]; SWLWHTRG01 [SER.WATER.LOW-CONSUMPTION: .01.NGA.BOILER.STD.STANDALONE.],UK,2010,10.6826490335353,1,1.06826490335353,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.8,0.1,NGA,SER.HOT-WATER.LOW-CONSUMPTION,1,0
SCKHYG001 [SER.COOKING: .01.HDG.],UK,2010,102.5,1,5.125,1,0,1,100000000.0,100,100000000.0,14.0,1.0,1,0.8,0.1,HYDROGEN,SER.COOKING,1,0
SCKNGA000 [SER.COOKING: .00.NGA.]; SCKNGA001 [SER.COOKING: .01.NGA.],UK,2010,102.5,1,5.125,1,0,1,100000000.0,100,100000000.0,14.0,1.0,1,0.8,0.1,NGA,SER.COOKING,1,0
SCKLFO001 [SER.COOKING: .01.OIL.]; SCKOTH000 [SER.COOKING: .00.OIL.HEAT.],UK,2010,102.5,1,5.125,1,0,1,100000000.0,100,100000000.0,14.0,1.0,1,0.8,0.1,OIL,SER.COOKING,1,0
SWLWHTRE00 [SER.WATER.LOW-CONSUMPTION: .00.ELC.RESISTANCE.STANDALONE.]; SWLWHTRE01 [SER.WATER.LOW-CONSUMPTION: .01.ELC.RESISTANCE.STANDALONE.],UK,2010,11.0641722133044,1,1.10641722133044,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.85,0.1,ELC,SER.HOT-WATER.LOW-CONSUMPTION,1,0
SCPECOMP00 [SER.COMPUTERS: .00.]; SCPECOMP01 [SER.COMPUTERS: .01.],UK,2010,1110.59896698245,1,0.0,1,0,1,100000000.0,100,100000000.0,5.0,1.0,1,0.6,0.1,ELC,SER.COMPUTING,1,0
SCKELC000 [SER.COOKING: .00.ELC.]; SCKELC001 [SER.COOKING: .01.ELC.],UK,2010,117.017780168132,1,5.85088900840658,1,0,1,100000000.0,100,100000000.0,14.0,1.0,1,0.9,0.1,ELC,SER.COOKING,1,0
SHLBLCRP01 [SER.HEAT.LOW-CONSUMPTION: .01.PELH.BOILER.CON.RADIATOR.],UK,2010,12.0881910256708,1,1.20881910256708,1,0,1,100000000.0,100,100000000.0,15.0,1.0,1,0.85,0.1,PELLETS,SER.SPACE-HEAT.LOW-CONSUMPTION,1,0
RHNAGHBRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.NGA.BOILER.RADIATOR.],UK,2010,14.4874563294833,1,0.869247379769001,1,0,1,100000000.0,100,100000000.0,20.0,1.0,1,0.84,0.1,ELC,RES.SPACE-HEAT.NEW-AVERAGE,0,1
RHNAGHHRE01 [RES.HEAT.NEW-AVERAGE: .01.ELC.HEAT PUMP.GROUND.HDG.BOILER.RADIATOR.],UK,2010,14.4874563294833,1,0.869247379769001,1,0,1,100000000.0,100,100000000.0,20.0,1.0,1,3.266,0.1,ELC,RES.SPACE-HEAT.NEW-AVERAGE,0,1
SHLBLSRE01 [SER.HEAT.LOW-CONSUMPTION: .01.ELC.BOILER.CON.SOLAR-THERMAL.RADIATOR.],UK,2010,15.6390132247701,1,1.56390132247701,1,0,1,100000000.0,100,100000000.0,19.0,1.0,1,0.95,0.1,ELC,SER.SPACE-HEAT.LOW-CONSUMPTION,1,0
RECOLFRE00 [RES.FREEZERS: .00.],UK,2010,152.777777777778,1,6.94444444444444,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.858325268073987,0.1,ELC,RES.FREEZERS,0,1
