ProcessName,RegionName,Time,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Fuel,EndUse,Agent2
Unit,-,year,MGBP2020/PJ_a,-,MGBP2020/PJ_a,-,MGBP2020/PJ,-,PJ,%,PJ,years,-,PJ,%,-,-,-,new
SLOFEFLU00 [SER.LIGHTING: .00.OFFICE.FLUORESCENT.],UK,2010,0.520833333333333,1,0.0,1,0,1,2.0,100,100000000.0,1.0,1.0,1,2.22222222222222,0.1,ELC,SER.LIGHTING.OFFICE,1
SLOFELED00 [SER.LIGHTING: .00.OFFICE.LED.],UK,2010,4.16666666666667,1,0.0,1,0,1,2.0,100,100000000.0,21.0,1.0,1,1.63701985699875,0.1,ELC,SER.LIGHTING.OFFICE,1
SLOTECCL00 [SER.LIGHTING: .00.OTHER.CCL.],UK,2010,1.5625,1,0.0,1,0,1,2.0,100,100000000.0,7.0,1.0,1,1.63701985699875,0.1,ELC,SER.LIGHTING.OTHER,1
SLOTELED00 [SER.LIGHTING: .00.OTHER.LED.],UK,2010,4.16666666666667,1,0.0,1,0,1,2.0,100,100000000.0,21.0,1.0,1,1.63701985699875,0.1,ELC,SER.LIGHTING.OTHER,1
SOTHELC00 [SER.OTHER: .00.ELC.],UK,2010,1.0,1,0.0,1,0,1,2.0,100,100000000.0,50.0,1.0,1,0.9,0.1,ELC,SER.OTHER,1
SOTHNGA00 [SER.OTHER: .00.NGA.OIL.HEAT.],UK,2010,1.0,1,0.0,1,0,1,2.0,100,100000000.0,50.0,1.0,1,0.9,0.1,NGA,SER.OTHER,1
SREFEHFC00 [SER.REFRIGERATION: .00.HFC.],UK,2010,296.835518792402,1,14.8417759396201,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.9,0.1,ELC,SER.REFRIGERATION,1
SREFEHFO00 [SER.REFRIGERATION: .00.HFO.],UK,2010,326.519070671643,1,16.3259535335821,1,0,1,2.0,100,100000000.0,15.0,1.0,1,0.9,0.1,ELC,SER.REFRIGERATION,1
SWHBLRRC00 [SER.WATER.HIGH-CONSUMPTION: .00.HCO.BOILER.STD.PIPE.],UK,2010,29.25,1,1.4625,1,0,1,2.0,100,100000000.0,20.0,1.0,1,0.8,0.1,HCO,SER.HOT-WATER.HIGH-CONSUMPTION,1
SWHBLRRG00 [SER.WATER.HIGH-CONSUMPTION: .00.NGA.BOILER.STD.PIPE.],UK,2010,4.42351598173516,1,0.221175799086758,1,0,1,2.0,100,100000000.0,20.0,1.0,1,0.86,0.1,NGA,SER.HOT-WATER.HIGH-CONSUMPTION,1
SWHBLRRO00 [SER.WATER.HIGH-CONSUMPTION: .00.LFO.BOILER.STD.PIPE.],UK,2010,5.30821917808219,1,0.26541095890411,1,0,1,2.0,100,100000000.0,20.0,1.0,1,0.86,0.1,LFO,SER.HOT-WATER.HIGH-CONSUMPTION,1
SWHBLRRW00 [SER.WATER.HIGH-CONSUMPTION: .00.WOD.BOILER.STD.PIPE.],UK,2010,29.2522831050228,1,1.46261415525114,1,0,1,2.0,100,100000000.0,20.0,1.0,1,0.8,0.1,WOOD,SER.HOT-WATER.HIGH-CONSUMPTION,1
