technology,dst_region,region,installed,agent,sector,type,year,capacity
RELITLED01 [RES.LIGHTING: .01.LED.],UK,UK,2010,Agent1,residential,newcapa,2035,194.62370000000
RELITLED01 [RES.LIGHTING: .01.LED.],UK,UK,2015,Agent1,residential,newcapa,2035,135.99670000000
RELITLED01 [RES.LIGHTING: .01.LED.],UK,UK,2020,Agent1,residential,newcapa,2035,159.21820000000
RELITLED01 [RES.LIGHTING: .01.LED.],UK,UK,2025,Agent1,residential,newcapa,2035,138.26360000000
RELITLED01 [RES.LIGHTING: .01.LED.],UK,UK,2030,Agent1,residential,newcapa,2035,140.67690000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2010,Agent1,residential,newcapa,2035,7.59200000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2015,Agent1,residential,newcapa,2035,9.99950000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2020,Agent1,residential,newcapa,2035,2.97650000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2025,Agent1,residential,newcapa,2035,1.51070000000
REOTHER00 [RES.OTHER: .00.ALL.],UK,UK,2030,Agent1,residential,newcapa,2035,2.15830000000
REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2010,Agent1,residential,newcapa,2035,0.26320000000
REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2015,Agent1,residential,newcapa,2035,9.99950000000
REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2020,Agent1,residential,newcapa,2035,2.97650000000
REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2025,Agent1,residential,newcapa,2035,1.51070000000
REOTHER01 [RES.OTHER: .01.ALL.],UK,UK,2030,Agent1,residential,newcapa,2035,2.15830000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2020,Agent1,residential,newcapa,2035,8.55760000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2025,Agent1,residential,newcapa,2035,10.00000000000
REWETALL00 [RES.WET-APPLIANCES: .00.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2030,Agent1,residential,newcapa,2035,10.00000000000
REWETALL01 [RES.WET-APPLIANCES: .01.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2020,Agent1,residential,newcapa,2035,8.55760000000
REWETALL01 [RES.WET-APPLIANCES: .01.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2025,Agent1,residential,newcapa,2035,15.66730000000
REWETALL01 [RES.WET-APPLIANCES: .01.WASHING-MACHINE.DRIER.DISHWASHER.],UK,UK,2030,Agent1,residential,newcapa,2035,17.53220000000
RHEACSV01 [RES.HEAT.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,UK,2020,Agent1,residential,newcapa,2035,474.71580000000
RHEACSV01 [RES.HEAT.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,UK,2025,Agent1,residential,newcapa,2035,90.41050000000
RHEACSV01 [RES.HEAT.EXISTING-AVERAGE: .01.CONSERVATION-MEASURES.],UK,UK,2030,Agent1,residential,newcapa,2035,205.04230000000
RHEARAD00 [RES.HEAT.EXISTING-AVERAGE: .00.HTP.RADIATOR.],UK,UK,2010,Agent1,residential,newcapa,2035,1048.74690000000
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2010,Agent1,residential,newcapa,2035,83.10790000000
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2020,Agent1,residential,newcapa,2035,12.20610000000
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2025,Agent1,residential,newcapa,2035,10.00000000000
RHEASA00 [RES.HEAT.EXISTING-AVERAGE: .00.STANDALONE.DELIVERY.],UK,UK,2030,Agent1,residential,newcapa,2035,10.00000000000
RHEASA01 [RES.HEAT.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2020,Agent1,residential,newcapa,2035,474.71580000000
RHEASA01 [RES.HEAT.EXISTING-AVERAGE: .01.STANDALONE.DELIVERY.],UK,UK,2025,Agent1,residential,newcapa,2035,90.41050000000
