commodity,period,prices,region,season,timeslice,units_prices,year
res.other,Day,,UK,S,9,0,2010
res.wet.appliances,Day,,UK,S,9,0,2010
res.space-heat.existing-average,Day,,UK,S,9,0,2010
res.space-heat.new-average,Day,,UK,S,9,0,2010
res.hot-water.existing-average,Day,,UK,S,9,0,2010
res.hot-water.new-average,Day,,UK,S,9,0,2010
CO2f,Day,,UK,S,9,0,2010
elc,Peak,,UK,S,10,43.34267522,2010
nga,Peak,,UK,S,10,12.552,2010
oil,Peak,,UK,S,10,19.7944343,2010
hco,Peak,,UK,S,10,19.7944343,2010
wood,Peak,,UK,S,10,10.019,2010
solar,Peak,,UK,S,10,0.0,2010
hydrogen,Peak,,UK,S,10,105.016835,2010
biomass,Peak,,UK,S,10,10.019,2010
kerosene,Peak,,UK,S,10,18.21616657,2010
pellets,Peak,,UK,S,10,20.58703511,2010
res.cooking.other,Peak,,UK,S,10,0,2010
res.cooking.hobs,Peak,,UK,S,10,0,2010
res.cooking.ovens,Peak,,UK,S,10,0,2010
res.consumer-electronics.tv,Peak,,UK,S,10,0,2010
res.freezers,Peak,,UK,S,10,0,2010
res.cooling,Peak,,UK,S,10,0,2010
res.computers,Peak,,UK,S,10,0,2010
res.refrigerators,Peak,,UK,S,10,0,2010
res.lighting,Peak,,UK,S,10,0,2010
res.other,Peak,,UK,S,10,0,2010
res.wet.appliances,Peak,,UK,S,10,0,2010
res.space-heat.existing-average,Peak,,UK,S,10,0,2010
res.space-heat.new-average,Peak,,UK,S,10,0,2010
res.hot-water.existing-average,Peak,,UK,S,10,0,2010
res.hot-water.new-average,Peak,,UK,S,10,0,2010
CO2f,Peak,,UK,S,10,0,2010
elc,Evening,,UK,S,11,43.34267522,2010
nga,Evening,,UK,S,11,12.552,2010
oil,Evening,,UK,S,11,19.7944343,2010
hco,Evening,,UK,S,11,19.7944343,2010
wood,Evening,,UK,S,11,10.019,2010
solar,Evening,,UK,S,11,0.0,2010
hydrogen,Evening,,UK,S,11,105.016835,2010
biomass,Evening,,UK,S,11,10.019,2010
kerosene,Evening,,UK,S,11,18.21616657,2010
pellets,Evening,,UK,S,11,20.58703511,2010
res.cooking.other,Evening,,UK,S,11,0,2010
res.cooking.hobs,Evening,,UK,S,11,0,2010
res.cooking.ovens,Evening,,UK,S,11,0,2010
res.consumer-electronics.tv,Evening,,UK,S,11,0,2010
res.freezers,Evening,,UK,S,11,0,2010
res.cooling,Evening,,UK,S,11,0,2010
res.computers,Evening,,UK,S,11,0,2010
res.refrigerators,Evening,,UK,S,11,0,2010
res.lighting,Evening,,UK,S,11,0,2010
res.other,Evening,,UK,S,11,0,2010
res.wet.appliances,Evening,,UK,S,11,0,2010
res.space-heat.existing-average,Evening,,UK,S,11,0,2010
res.space-heat.new-average,Evening,,UK,S,11,0,2010
res.hot-water.existing-average,Evening,,UK,S,11,0,2010
res.hot-water.new-average,Evening,,UK,S,11,0,2010
CO2f,Evening,,UK,S,11,0,2010
elc,Night,,UK,A,12,43.34267522,2010
nga,Night,,UK,A,12,12.552,2010
oil,Night,,UK,A,12,19.7944343,2010
hco,Night,,UK,A,12,19.7944343,2010
wood,Night,,UK,A,12,10.019,2010
solar,Night,,UK,A,12,0.0,2010
hydrogen,Night,,UK,A,12,105.016835,2010
biomass,Night,,UK,A,12,10.019,2010
kerosene,Night,,UK,A,12,18.21616657,2010
pellets,Night,,UK,A,12,20.58703511,2010
res.cooking.other,Night,,UK,A,12,0,2010
res.cooking.hobs,Night,,UK,A,12,0,2010
res.cooking.ovens,Night,,UK,A,12,0,2010
res.consumer-electronics.tv,Night,,UK,A,12,0,2010
res.freezers,Night,,UK,A,12,0,2010
res.cooling,Night,,UK,A,12,0,2010
res.computers,Night,,UK,A,12,0,2010
res.refrigerators,Night,,UK,A,12,0,2010
res.lighting,Night,,UK,A,12,0,2010
res.other,Night,,UK,A,12,0,2010
res.wet.appliances,Night,,UK,A,12,0,2010
res.space-heat.existing-average,Night,,UK,A,12,0,2010
res.space-heat.new-average,Night,,UK,A,12,0,2010
res.hot-water.existing-average,Night,,UK,A,12,0,2010
res.hot-water.new-average,Night,,UK,A,12,0,2010
CO2f,Night,,UK,A,12,0,2010
elc,Day,,UK,A,13,43.34267522,2010
nga,Day,,UK,A,13,12.552,2010
oil,Day,,UK,A,13,19.7944343,2010
hco,Day,,UK,A,13,19.7944343,2010
wood,Day,,UK,A,13,10.019,2010
solar,Day,,UK,A,13,0.0,2010
hydrogen,Day,,UK,A,13,105.016835,2010
biomass,Day,,UK,A,13,10.019,2010
kerosene,Day,,UK,A,13,18.21616657,2010
pellets,Day,,UK,A,13,20.58703511,2010
res.cooking.other,Day,,UK,A,13,0,2010
res.cooking.hobs,Day,,UK,A,13,0,2010
res.cooking.ovens,Day,,UK,A,13,0,2010
res.consumer-electronics.tv,Day,,UK,A,13,0,2010
res.freezers,Day,,UK,A,13,0,2010
res.cooling,Day,,UK,A,13,0,2010
res.computers,Day,,UK,A,13,0,2010
res.refrigerators,Day,,UK,A,13,0,2010
res.lighting,Day,,UK,A,13,0,2010
res.other,Day,,UK,A,13,0,2010
res.wet.appliances,Day,,UK,A,13,0,2010
res.space-heat.existing-average,Day,,UK,A,13,0,2010
res.space-heat.new-average,Day,,UK,A,13,0,2010
res.hot-water.existing-average,Day,,UK,A,13,0,2010
res.hot-water.new-average,Day,,UK,A,13,0,2010
CO2f,Day,,UK,A,13,0,2010
